revision_timing,nth_revision,sleep_duration,topic_difficulty,study_duration,session_time,S_true,retention_percentage
36.9,4,7.7,4,36,0,286.53,86.08
99.8,0,5.9,3,65,2,24.15,8.46
260.6,3,5.0,7,14,0,110.93,10.64
42.5,0,6.8,4,65,2,22.75,11.8
80.8,2,5.4,5,28,1,65.85,30.61
19.5,2,5.8,4,77,3,69.62,74.23
18.0,1,8.2,10,53,0,38.15,63.91
25.2,1,7.6,4,46,0,50.46,60.54
54.1,0,6.7,2,128,0,33.53,20.18
55.5,0,4.8,2,167,3,20.73,3.68
18.7,1,6.8,6,23,3,30.1,57.2
7.4,2,7.9,6,47,0,81.63,87.29
48.5,5,6.0,5,89,2,430.93,85.47
7.1,4,8.3,5,70,2,262.93,98.62
42.0,3,8.2,2,87,1,189.7,85.75
57.2,3,8.7,5,55,1,146.5,66.44
58.4,2,6.9,5,104,0,86.08,53.19
67.7,0,7.3,3,64,0,31.17,15.15
99.5,4,8.3,2,73,3,290.47,73.85
33.8,2,7.1,2,28,3,79.72,64.36
63.4,2,5.8,2,60,2,82.32,42.48
46.8,0,5.9,6,90,0,24.38,6.94
10.4,1,6.8,3,68,0,49.28,80.05
1.7,1,4.8,4,150,2,35.99,99.51
16.6,4,6.3,3,62,3,230.66,89.12
28.6,1,7.9,9,75,3,34.33,45.92
46.6,1,3.7,8,64,2,24.88,12.04
91.5,6,8.5,3,56,2,923.32,90.94
11.0,0,8.0,4,91,0,31.36,72.89
6.9,1,5.9,3,54,0,47.56,84.19
159.4,0,7.2,5,27,3,20.51,0.64
6.0,3,6.5,1,125,2,184.76,95.35
31.7,4,8.1,6,40,0,259.6,90.97
42.8,0,7.8,5,22,0,24.82,18.66
37.9,4,4.7,8,80,2,150.96,78.0
4.8,0,7.3,3,133,0,36.58,93.16
3.3,4,6.2,7,81,0,238.18,100.0
5.9,3,6.6,7,115,1,132.58,93.23
42.8,3,5.6,2,33,2,138.01,73.04
38.2,0,8.8,4,27,2,23.67,19.65
13.3,6,7.9,3,47,0,1014.73,98.98
49.2,2,5.5,4,100,2,80.2,62.98
82.8,1,4.8,4,77,0,35.6,11.07
2.5,3,6.0,5,80,0,146.44,91.18
33.6,0,7.1,5,62,2,24.55,23.55
56.6,4,6.8,9,48,2,177.37,65.92
14.5,0,8.1,2,63,2,29.44,59.96
18.2,2,7.5,9,53,2,63.78,68.22
46.1,1,7.8,3,46,1,49.59,36.42
110.0,0,6.9,7,71,0,22.14,0.0
80.2,0,4.7,4,50,1,17.11,2.27
42.5,0,6.2,3,67,0,27.31,21.09
63.4,1,7.9,8,15,0,37.63,19.61
22.3,1,6.4,4,64,3,37.45,54.77
49.7,2,7.2,6,50,1,76.18,47.2
30.6,0,6.1,5,119,3,22.39,27.29
10.6,0,5.2,5,21,2,19.13,64.19
58.6,3,6.3,5,61,2,124.19,63.82
39.5,0,6.9,7,90,1,21.46,14.39
21.8,4,5.6,2,54,1,273.6,87.34
116.8,4,6.2,6,49,1,214.06,54.77
1.5,2,5.3,8,90,0,71.58,99.51
18.7,2,8.0,2,76,2,98.52,86.47
3.3,4,6.1,3,79,0,295.25,99.8
70.3,0,8.4,6,46,0,25.13,8.89
58.6,0,8.5,5,43,2,23.37,10.62
19.8,0,6.4,5,67,0,24.32,46.08
54.5,3,5.2,3,94,3,138.51,65.17
24.7,0,3.8,5,25,3,13.3,16.23
68.3,2,4.6,2,55,3,55.88,26.49
29.6,7,4.7,5,44,1,974.58,97.07
26.0,4,8.3,7,59,0,259.36,91.62
131.5,1,6.7,4,86,3,39.52,9.47
14.4,0,7.0,5,35,1,23.83,50.06
6.7,3,3.6,10,81,3,70.45,92.61
42.7,2,4.9,6,47,3,43.38,42.55
167.7,0,7.7,7,102,3,22.34,2.71
23.3,0,6.9,5,37,0,22.5,38.41
3.6,4,6.3,7,93,1,226.93,100.0
20.4,2,7.2,1,26,3,84.83,83.17
34.3,3,8.6,2,65,0,194.15,80.0
9.0,4,6.2,3,82,0,297.4,92.17
52.0,2,6.6,5,37,1,67.49,46.26
293.1,1,6.8,7,13,3,27.82,0.0
29.3,1,9.6,4,44,2,44.62,56.16
21.5,1,3.8,6,59,1,28.25,50.99
25.1,1,7.4,6,49,0,45.59,56.14
6.4,3,6.4,6,42,2,112.07,93.15
103.6,2,7.2,4,91,3,82.79,28.36
26.2,4,5.6,5,107,0,280.81,91.27
24.0,1,6.4,4,104,1,46.84,60.35
52.2,2,7.4,2,74,3,89.87,57.9
28.5,2,10.0,10,80,2,65.31,64.03
50.6,2,7.6,2,33,2,88.17,59.64
3.5,2,5.4,2,56,2,81.49,97.36
81.2,0,5.9,8,62,1,19.1,0.0
135.9,1,5.9,4,68,0,46.42,10.03
50.7,0,4.2,6,68,2,15.41,0.0
148.9,1,6.1,4,59,2,40.34,2.17
8.4,1,7.5,4,74,3,44.15,86.06
31.7,2,4.8,4,66,3,50.81,51.06
44.7,5,7.9,4,66,1,516.35,92.79
42.3,2,7.1,5,39,1,78.04,60.06
25.1,3,5.5,6,29,2,108.19,76.28
20.3,1,6.3,5,68,2,39.01,59.18
7.0,2,8.6,9,46,2,62.62,88.88
24.4,0,7.5,1,40,2,29.68,42.01
9.0,0,6.5,5,83,3,20.61,72.67
64.1,1,6.2,6,56,0,40.37,17.76
11.7,1,6.6,8,116,1,39.08,77.65
3.4,0,5.8,1,78,0,31.99,88.54
39.1,0,3.8,5,37,1,15.62,4.38
43.9,0,9.2,8,83,0,24.99,17.62
99.1,6,6.7,3,72,1,870.71,91.51
41.8,1,7.0,8,36,1,36.94,35.48
20.8,1,6.4,1,42,0,52.53,72.77
78.5,0,5.5,7,81,1,21.01,12.69
37.8,2,6.3,9,19,0,56.9,52.34
4.5,0,4.4,6,14,0,15.0,71.77
40.5,0,9.5,5,64,2,24.67,20.96
115.0,1,4.9,1,61,1,38.33,4.05
24.7,0,5.2,8,67,0,20.89,33.9
17.4,0,5.9,5,61,1,22.18,41.1
7.9,0,8.2,1,73,2,32.3,86.59
8.4,0,6.5,6,108,0,25.42,74.86
27.7,0,4.9,5,58,2,15.85,11.52
44.0,1,8.1,2,23,0,53.6,41.53
4.5,3,7.5,3,17,0,160.27,100.0
135.2,2,7.2,2,48,1,95.61,28.43
68.0,1,7.4,5,49,1,44.52,17.26
42.9,0,9.6,6,26,2,21.16,15.66
85.1,5,9.3,5,12,2,405.22,74.24
4.5,1,5.6,7,46,3,30.47,85.96
31.6,0,8.6,8,133,1,25.91,33.43
48.2,2,7.0,6,72,0,86.99,55.53
85.2,0,7.1,1,69,2,31.98,1.69
73.9,1,4.3,6,53,0,30.04,9.06
16.1,1,6.3,5,48,1,38.61,63.79
136.3,4,5.4,5,76,0,261.04,61.53
6.9,1,7.6,6,28,0,43.08,82.1
100.4,2,7.9,4,151,3,91.05,30.49
170.3,7,3.8,8,29,2,771.78,73.13
9.9,0,6.5,3,79,2,25.0,67.9
62.0,0,8.0,6,31,1,22.35,5.67
2.5,1,6.3,1,62,0,55.33,91.42
25.5,1,7.4,8,84,0,45.08,57.48
35.4,1,7.0,2,21,0,53.3,55.07
42.2,4,6.9,2,33,1,258.77,84.2
132.4,2,6.1,4,35,2,68.17,15.28
54.0,2,4.9,4,50,2,53.21,37.2
32.0,1,5.0,3,67,0,49.15,47.94
80.1,3,7.4,6,134,3,146.89,65.17
144.8,5,6.5,5,42,2,382.98,66.87
1.6,3,6.3,1,130,1,194.56,100.0
194.7,0,5.9,4,71,2,23.1,2.71
4.8,2,6.1,7,29,1,59.52,91.76
81.3,0,7.9,6,53,0,25.59,6.3
16.3,0,6.1,6,24,1,19.06,43.38
7.3,0,4.8,6,48,2,14.64,55.78
28.3,2,7.5,4,46,0,90.83,72.07
50.1,2,6.2,2,63,0,93.32,56.31
23.5,0,6.5,4,80,0,26.56,39.67
3.2,1,8.6,7,55,0,44.02,88.42
44.4,1,6.5,10,31,3,25.49,21.46
112.2,1,6.9,5,115,2,43.58,13.22
23.7,0,5.0,1,139,1,33.6,52.82
12.2,1,6.2,3,52,0,47.31,81.72
28.6,3,7.3,4,69,1,160.56,82.48
2.9,0,4.5,5,51,1,16.21,81.4
82.9,0,6.8,2,63,0,28.8,2.9
84.5,1,6.6,9,65,1,33.09,10.04
43.1,5,6.6,4,26,1,404.02,90.68
21.4,2,7.8,8,48,2,65.91,72.01
77.7,2,6.9,7,98,2,68.03,36.44
39.3,1,8.4,7,93,0,48.33,45.76
84.4,2,5.2,6,48,1,65.89,24.85
48.4,0,6.7,6,66,2,20.45,6.99
74.1,2,6.6,6,50,1,66.24,35.06
44.3,4,5.1,6,81,3,204.14,84.14
26.2,2,7.7,5,20,2,71.09,71.11
152.6,4,9.5,10,76,0,235.74,58.98
37.9,2,6.5,7,119,0,80.25,68.08
45.1,0,7.2,7,38,2,20.79,12.96
12.5,4,6.6,8,111,0,243.43,92.06
47.7,0,5.6,3,67,1,25.28,10.57
41.2,1,4.1,2,55,3,31.04,25.17
10.3,0,5.6,5,48,1,21.45,64.5
3.4,0,4.7,5,113,1,18.83,89.87
45.0,1,8.7,7,50,2,38.62,32.65
69.7,0,6.4,5,129,1,26.01,10.95
36.1,1,6.1,5,121,1,46.0,44.76
12.8,2,7.7,5,44,3,69.59,85.38
53.2,0,5.0,1,52,1,27.74,17.58
4.5,0,5.5,6,16,3,16.4,69.07
28.5,2,6.6,7,56,3,56.29,58.82
9.1,1,7.8,3,60,0,55.54,88.21
10.3,2,7.2,6,103,0,93.64,90.54
11.3,2,6.8,6,125,0,85.54,83.44
24.0,3,6.6,3,85,0,166.41,78.06
3.0,2,7.0,2,99,0,117.07,96.19
24.8,1,6.8,10,52,2,29.41,42.78
34.9,2,5.2,4,27,0,75.03,59.71
32.2,0,6.6,3,67,0,27.31,31.25
23.7,1,5.1,3,102,2,47.51,62.5
88.2,3,6.6,6,8,0,114.66,48.68
8.0,1,5.9,6,62,2,36.43,72.04
34.3,3,9.8,6,18,0,135.72,73.07
3.6,3,6.4,2,37,0,156.96,96.67
4.0,4,4.7,8,63,2,144.75,99.28
41.4,4,6.3,4,126,2,275.45,87.76
40.6,1,7.2,4,59,3,42.53,40.14
101.5,1,8.7,5,82,2,46.43,9.89
39.7,2,5.7,4,67,2,74.09,57.37
154.8,1,4.4,8,38,0,26.16,0.0
2.9,2,7.6,8,74,0,79.21,99.09
5.5,2,4.7,4,27,2,50.02,86.37
2.7,2,5.9,8,58,2,58.82,98.49
10.3,1,6.2,7,112,3,35.77,75.71
37.9,0,6.4,9,64,1,18.34,12.5
50.3,1,7.4,3,67,1,52.34,35.95
2.7,0,5.6,5,48,2,20.59,82.97
140.6,4,6.1,4,21,0,239.04,53.27
89.1,1,6.5,7,51,3,30.87,4.42
17.4,0,6.7,1,91,3,26.89,44.06
4.4,0,6.6,5,72,1,22.8,81.76
9.4,2,7.1,4,28,2,76.91,91.73
7.0,2,7.6,4,17,2,74.57,93.02
6.8,1,7.0,6,38,0,44.27,84.03
35.6,0,7.1,8,51,3,18.79,15.21
14.0,1,4.4,6,53,1,27.82,58.51
21.8,1,6.6,8,54,2,32.34,51.49
219.2,2,7.1,4,58,0,93.7,15.03
55.8,2,7.4,5,73,3,74.94,50.88
143.3,1,5.6,5,46,1,38.41,4.22
7.9,0,5.6,1,33,0,28.49,74.06
23.6,6,5.8,5,77,3,690.84,99.27
39.3,1,7.2,6,92,0,50.71,40.17
4.3,2,7.8,6,42,0,80.55,93.92
0.7,0,6.0,7,151,3,20.82,98.74
53.8,1,7.7,5,122,3,46.66,34.16
49.8,0,6.7,2,29,1,24.38,15.31
25.9,1,6.3,2,18,2,40.85,54.08
32.8,6,6.2,6,53,1,700.8,94.74
26.3,1,7.5,4,67,0,53.26,62.91
1.7,0,6.9,2,150,0,33.91,91.78
20.1,0,9.5,5,148,2,28.98,47.02
9.9,1,5.4,5,82,2,40.37,78.47
5.5,0,7.2,4,47,2,24.99,80.85
151.2,0,5.8,6,106,2,22.49,0.0
44.4,3,5.4,6,62,0,132.8,73.17
63.1,1,6.5,4,25,1,38.38,22.02
18.7,0,6.7,7,26,0,19.68,38.39
24.5,4,10.0,6,47,1,244.88,98.79
13.5,0,6.3,6,96,1,22.9,53.07
5.4,5,5.0,5,31,3,340.77,97.16
10.0,1,6.9,1,47,1,49.29,80.26
77.2,4,3.8,6,122,0,206.49,68.54
54.8,2,6.4,4,72,0,84.4,51.09
38.5,3,6.5,9,139,2,120.59,67.74
31.4,6,7.5,7,76,2,779.34,94.14
123.2,0,7.8,6,98,0,28.57,1.0
4.1,6,5.8,4,47,0,831.32,100.0
16.3,1,6.3,3,126,2,50.13,79.95
21.2,1,5.5,4,84,0,48.28,69.13
73.7,1,5.0,5,54,2,37.65,11.41
235.5,1,6.9,4,113,2,45.89,0.0
13.7,0,4.8,5,82,0,18.92,47.93
100.0,2,6.0,3,57,0,86.26,37.62
85.7,1,5.2,9,77,3,30.0,5.17
12.7,3,7.2,2,35,1,166.23,88.0
25.0,3,8.8,9,106,1,135.99,81.45
25.8,1,4.8,8,149,2,29.23,44.01
184.2,1,4.1,5,21,3,23.68,2.46
10.1,0,6.3,6,42,3,17.62,55.66
77.6,0,6.5,5,40,2,20.16,4.52
20.0,0,6.8,6,87,1,22.42,33.02
63.5,1,5.9,4,65,0,46.08,25.57
26.6,0,6.2,4,45,2,21.61,32.22
42.0,6,7.0,5,49,1,841.2,92.21
86.3,2,7.9,5,43,1,78.87,30.56
78.8,1,4.0,5,81,3,27.69,0.0
97.1,2,6.0,4,65,0,82.94,36.58
3.5,0,6.8,4,48,1,22.69,83.19
57.0,1,5.3,2,43,0,49.23,32.26
7.7,2,8.8,2,115,1,112.41,95.49
26.3,1,5.7,4,104,0,50.59,64.75
38.7,1,6.4,2,81,0,54.2,48.43
25.2,7,7.2,2,99,0,2212.06,96.98
35.7,4,5.7,7,26,2,183.61,82.94
272.3,2,4.1,1,31,2,61.19,5.66
7.5,2,5.9,6,29,1,62.61,88.12
54.5,2,7.8,4,58,3,76.35,45.64
24.7,0,6.1,8,100,1,20.94,25.35
7.4,1,5.4,5,46,0,41.48,79.39
8.8,0,7.7,4,108,3,26.58,74.84
143.6,1,6.1,5,42,0,41.04,1.9
102.1,1,5.8,4,54,3,36.51,3.98
114.5,0,6.7,5,45,0,22.98,0.0
229.5,6,7.5,2,52,3,892.48,77.62
11.7,4,9.6,10,55,0,223.65,94.06
21.6,2,7.6,5,18,3,64.8,70.7
53.6,1,8.0,4,70,1,49.68,38.72
32.2,4,5.8,6,54,3,190.83,89.86
26.5,0,5.2,4,126,0,29.52,35.11
21.8,3,6.6,7,79,1,121.93,84.77
43.7,0,6.6,5,69,3,19.92,8.42
41.6,3,5.1,6,122,1,141.63,73.68
9.0,0,6.3,2,115,2,28.96,74.37
31.1,4,7.0,7,129,2,271.68,88.44
39.2,5,7.0,7,43,1,414.65,91.79
41.0,0,7.2,3,28,2,25.19,22.0
11.8,1,6.9,3,18,1,39.94,75.45
65.6,6,5.8,4,98,3,768.21,89.55
1.7,1,5.8,9,16,0,31.34,92.52
21.5,4,4.9,4,65,0,201.54,84.84
73.2,2,8.8,5,22,3,65.54,29.74
40.3,1,6.5,1,105,3,49.99,51.52
15.0,0,6.2,4,76,1,24.36,51.25
57.5,0,5.3,5,105,2,23.67,4.63
40.7,3,10.0,9,66,0,133.5,74.84
76.9,1,5.1,5,33,0,40.06,14.28
64.2,1,5.9,7,45,1,34.53,14.89
45.7,1,7.0,5,93,1,49.64,44.76
32.6,2,7.3,1,21,1,95.06,72.89
7.4,4,7.7,4,43,0,291.97,95.64
15.0,6,8.8,5,39,3,720.89,96.46
26.6,1,7.2,9,55,3,32.65,42.52
44.4,3,5.1,8,81,2,112.09,70.36
35.1,3,6.2,3,104,1,161.09,79.34
16.8,2,6.9,3,24,0,78.97,74.56
0.8,5,9.2,3,34,2,483.97,99.67
33.4,0,4.7,8,26,2,12.5,1.53
16.6,0,8.1,8,57,0,23.43,56.88
64.2,4,6.7,7,28,3,169.25,65.05
1.7,1,7.6,4,70,2,47.69,95.93
42.7,3,6.4,5,111,3,128.27,72.59
136.7,4,5.4,5,18,2,199.16,49.33
9.7,0,7.5,4,35,2,24.2,65.96
31.1,4,7.4,5,129,1,313.95,92.05
5.1,1,7.8,1,64,3,52.11,96.02
47.7,1,6.5,3,43,3,37.65,30.85
38.9,2,5.7,8,180,0,78.91,66.26
25.6,5,4.5,7,49,0,296.71,88.07
35.9,0,7.6,5,79,1,26.67,27.14
109.4,1,7.1,5,36,2,41.28,7.61
11.0,2,5.2,4,32,3,61.98,84.97
1.6,2,5.8,7,81,0,73.51,100.0
95.4,2,5.9,7,136,1,76.66,28.04
41.8,0,4.6,7,44,1,14.35,4.01
106.7,0,5.4,6,31,3,17.1,2.06
44.1,1,5.0,3,97,2,46.97,32.88
80.3,3,6.0,4,44,2,125.71,51.96
27.5,0,5.5,5,71,1,22.74,29.38
67.0,0,4.4,4,43,1,16.8,0.0
117.7,5,9.1,7,48,0,453.77,80.85
41.2,0,8.1,4,34,0,27.15,18.21
10.1,7,5.5,3,83,3,1416.64,98.81
15.5,2,6.9,4,72,2,75.02,82.36
11.1,3,7.0,9,70,3,109.87,95.13
14.1,0,8.0,3,38,3,23.73,55.17
18.1,0,5.4,6,68,1,21.4,46.21
39.4,3,7.9,5,145,2,169.01,81.66
43.1,3,5.8,2,31,3,125.82,71.43
27.2,3,4.8,5,36,2,87.24,69.4
46.4,0,7.4,6,37,0,24.53,10.06
4.6,3,8.2,5,61,1,148.77,97.33
4.9,3,9.9,8,29,0,126.82,94.31
9.5,2,4.9,4,76,3,52.09,86.54
35.5,3,7.4,2,17,2,151.78,81.76
12.1,3,6.0,9,88,0,122.48,89.95
16.5,2,7.5,4,70,2,85.85,78.46
25.0,0,4.6,5,143,2,18.9,28.43
80.7,1,4.9,7,32,1,25.01,0.4
1.2,0,5.5,4,99,0,27.78,93.12
50.8,1,6.6,6,54,2,35.7,20.67
53.6,1,5.7,3,48,1,43.35,28.56
77.4,0,7.4,4,31,2,23.93,8.04
130.1,1,7.8,3,44,1,49.33,7.14
1.5,0,7.3,7,45,3,19.41,91.01
8.5,3,8.6,3,22,1,150.51,89.17
104.8,5,7.0,6,69,1,466.28,81.8
29.9,0,4.9,9,65,3,12.13,5.78
40.4,5,8.3,5,79,1,504.0,92.71
52.7,1,5.7,5,41,0,40.93,26.36
55.1,0,7.7,5,90,0,29.58,18.45
129.4,0,8.5,4,114,2,29.39,0.67
278.5,1,7.1,5,50,2,42.85,0.0
61.6,3,4.6,6,32,2,81.82,48.8
16.8,2,5.3,10,60,0,60.8,83.23
102.2,0,8.2,9,58,0,22.43,4.16
2.9,0,6.3,8,52,0,20.11,86.26
13.1,1,6.6,8,79,1,35.86,69.41
109.8,0,7.5,5,47,1,24.6,0.0
14.7,0,7.4,6,30,1,22.28,48.38
12.5,0,6.9,8,63,1,19.15,50.13
7.6,3,6.2,4,81,3,126.53,91.47
94.6,5,6.1,9,84,0,393.08,80.9
33.8,1,7.6,5,45,1,44.05,42.68
54.4,4,7.2,6,67,2,247.45,84.93
13.6,1,6.2,6,116,1,43.14,75.59
68.6,1,7.9,9,115,2,41.12,18.93
69.0,0,6.3,3,101,3,24.14,5.74
18.5,2,5.4,7,21,3,51.23,67.74
25.9,6,5.5,5,47,0,785.86,97.7
11.8,2,5.2,4,111,3,75.38,89.32
180.7,1,6.1,7,21,1,32.34,0.0
