revision_timing,nth_revision,sleep_duration,topic_difficulty,study_duration,session_time,S_true,retention_percentage
0.6,2,5.0,3,76,evening,80.41,100.0
128.0,0,8.5,4,90,evening,27.81,0.0
81.2,5,5.9,7,101,morning,449.42,85.09
20.0,2,8.2,4,42,morning,89.87,74.72
5.9,5,6.7,5,119,evening,461.55,100.0
4.1,0,4.7,7,57,night,13.06,72.12
50.1,0,5.6,6,76,evening,20.96,14.97
338.4,2,7.2,9,66,morning,74.17,1.4
59.5,3,4.5,8,180,morning,106.53,61.31
94.8,3,5.2,7,57,evening,110.81,43.36
43.3,5,5.8,4,29,evening,391.1,93.1
5.8,4,4.3,5,49,evening,162.55,96.37
1.0,3,10.0,4,65,morning,171.69,93.86
27.4,2,8.8,7,38,afternoon,70.15,67.21
119.9,2,9.8,5,125,evening,92.22,39.38
23.9,2,6.9,5,32,morning,71.91,77.17
0.9,4,5.4,6,85,morning,252.95,98.75
136.8,1,6.2,6,117,afternoon,43.23,5.82
0.5,5,6.7,7,129,afternoon,442.96,93.53
12.5,1,2.9,8,54,night,16.31,40.85
59.7,1,5.3,7,94,morning,42.12,26.2
107.4,4,9.1,8,110,afternoon,258.62,62.48
4.7,3,7.4,7,34,night,109.93,97.77
2.3,4,5.3,1,81,morning,338.22,92.28
29.6,4,4.8,5,91,evening,180.41,83.31
1.2,1,3.7,8,38,morning,26.16,84.06
11.8,2,4.8,10,180,night,44.08,79.14
20.8,2,4.2,5,124,morning,67.51,70.31
146.2,2,7.0,6,70,morning,86.56,17.76
6.8,0,5.8,7,81,evening,20.17,64.48
1.1,0,7.9,4,170,night,28.1,98.04
122.0,1,5.2,5,105,afternoon,44.38,16.99
22.0,9,4.1,5,23,afternoon,2981.9,100.0
51.5,0,4.6,4,74,night,16.0,8.77
5.1,3,7.7,6,116,evening,154.3,100.0
7.3,2,6.6,4,105,afternoon,84.51,96.39
39.2,0,4.8,5,94,afternoon,18.03,8.0
15.0,2,6.5,4,117,afternoon,86.82,82.16
1.5,0,5.3,7,57,afternoon,19.79,83.92
21.9,3,6.7,5,65,evening,125.45,78.33
4.7,4,5.7,7,122,night,213.28,93.31
76.4,6,5.1,10,133,evening,672.59,98.49
72.4,2,7.1,10,40,evening,58.99,29.19
32.5,5,4.3,7,46,night,239.87,86.19
0.5,0,7.8,6,77,night,22.15,100.0
121.5,5,7.8,7,63,night,384.28,75.0
1.0,0,8.5,10,59,morning,21.52,95.51
163.0,1,6.1,6,83,afternoon,39.97,9.49
12.4,4,7.6,5,77,evening,267.5,93.39
32.5,3,7.8,1,94,afternoon,206.35,80.56
171.3,2,7.9,5,180,evening,93.9,17.74
28.5,4,5.6,6,66,night,196.75,81.82
13.3,1,2.0,3,142,morning,31.51,66.78
29.5,6,5.7,2,137,afternoon,1068.05,91.82
337.8,1,5.7,5,97,night,38.34,1.97
72.8,1,9.7,7,123,afternoon,47.9,22.83
16.0,1,3.8,5,57,afternoon,29.64,54.42
5.8,4,2.0,7,46,night,97.72,99.63
22.9,1,5.1,8,87,morning,39.49,49.06
118.9,3,8.9,7,80,morning,151.8,38.88
48.3,5,8.5,4,63,morning,553.47,93.04
44.0,9,7.3,8,98,night,4184.01,96.18
8.2,5,6.6,1,52,morning,566.18,100.0
207.4,5,6.8,8,80,afternoon,377.41,53.95
2.4,1,8.6,4,69,night,43.61,98.45
64.0,1,6.6,5,29,afternoon,36.69,23.82
27.4,5,6.4,1,111,morning,652.87,95.83
21.1,8,3.9,2,80,afternoon,2298.74,97.77
26.2,1,5.0,7,107,morning,43.4,55.73
63.2,6,8.0,6,71,evening,809.73,90.5
202.2,3,6.5,5,69,afternoon,131.99,18.36
413.4,2,5.3,6,53,afternoon,66.76,0.0
138.3,2,6.1,6,125,night,69.7,9.96
11.5,8,3.9,4,50,night,1659.0,88.29
28.0,1,6.3,1,115,evening,55.78,52.11
23.7,0,3.8,5,57,afternoon,16.47,24.22
253.2,2,7.7,6,100,night,75.78,7.16
21.9,3,8.1,7,171,night,139.65,85.07
55.1,2,7.9,8,35,night,58.36,30.78
22.3,4,5.8,5,37,evening,209.93,89.02
214.9,0,3.0,9,11,evening,11.44,5.95
14.7,6,6.9,7,81,night,628.8,100.0
92.3,2,9.3,3,45,afternoon,89.03,32.66
0.5,0,5.4,10,127,afternoon,20.33,99.8
0.5,9,5.4,6,64,morning,4539.73,99.31
45.6,0,6.0,8,119,afternoon,21.86,8.09
14.7,4,8.6,5,70,evening,262.93,100.0
122.1,2,4.2,8,24,morning,45.32,16.28
25.2,1,4.5,3,136,afternoon,39.79,50.26
33.2,2,5.0,7,19,afternoon,57.88,58.61
268.0,1,8.2,3,59,night,45.14,3.11
124.5,0,5.6,6,59,night,18.41,0.63
24.5,1,4.9,3,164,morning,42.97,62.13
22.6,3,6.0,5,101,afternoon,142.48,89.87
133.3,6,6.9,6,86,night,669.38,78.52
50.9,3,3.0,6,81,evening,92.79,52.78
219.5,4,4.1,7,70,evening,154.57,16.19
235.7,4,10.0,4,55,night,245.48,39.53
319.6,0,6.3,10,106,afternoon,19.41,0.19
13.4,7,9.2,4,80,evening,1662.36,100.0
26.2,4,3.4,5,54,evening,164.68,83.71
213.4,1,7.7,8,47,morning,41.09,0.0
17.0,4,7.0,7,123,evening,268.15,91.82
110.9,1,4.7,8,69,morning,28.35,4.32
506.2,0,7.5,5,117,morning,31.46,1.58
32.6,0,4.9,5,79,morning,18.79,11.76
108.8,0,2.1,2,74,morning,16.28,3.04
40.3,2,4.7,5,34,night,44.18,38.56
5.2,3,6.0,6,164,night,127.73,97.63
97.1,2,7.7,5,65,afternoon,83.49,36.6
29.3,2,4.4,7,102,night,47.2,49.68
10.4,1,5.6,8,41,morning,35.16,72.15
79.6,2,4.2,8,180,morning,59.18,31.1
24.6,1,7.1,8,43,afternoon,37.64,55.27
59.1,2,6.9,3,142,morning,103.13,57.01
22.2,1,5.6,5,73,afternoon,41.14,62.03
6.9,6,6.3,7,61,evening,652.85,100.0
230.7,4,6.1,8,140,night,208.32,26.89
35.8,0,9.0,8,161,evening,24.9,16.92
114.0,2,8.3,3,180,night,96.64,29.73
0.5,6,9.2,8,103,evening,791.71,98.82
44.5,2,4.5,3,180,night,63.03,50.05
207.3,1,6.6,3,168,evening,50.93,3.74
371.4,3,6.9,6,110,evening,132.38,9.57
143.2,1,8.1,5,53,afternoon,44.98,6.87
332.8,4,5.0,8,117,evening,219.3,20.54
15.7,4,5.8,6,132,night,229.26,78.21
68.7,3,3.7,10,84,evening,77.41,36.21
16.1,4,4.9,5,86,night,163.42,97.17
19.6,0,7.5,6,33,evening,21.57,52.84
22.8,1,7.6,6,88,afternoon,46.52,63.25
12.4,1,4.6,6,46,morning,29.5,64.94
93.0,0,4.1,10,40,afternoon,12.37,0.0
8.3,4,5.7,9,66,evening,185.74,93.72
11.0,3,5.0,7,55,afternoon,114.83,91.11
7.5,0,8.8,7,61,evening,22.07,77.08
49.6,1,5.1,6,125,afternoon,44.0,27.13
132.6,3,7.3,7,102,night,130.28,33.63
46.1,3,7.5,10,70,afternoon,119.49,78.41
87.3,3,7.3,6,102,night,137.03,52.68
3.0,6,4.8,5,77,afternoon,588.78,90.51
4.3,0,4.6,6,104,night,15.39,71.3
463.0,1,5.3,7,57,afternoon,35.62,0.0
5.9,0,6.1,7,49,morning,20.94,73.3
3.8,4,4.9,7,180,night,163.94,90.24
23.0,0,7.1,5,136,afternoon,30.19,44.88
28.7,0,6.5,4,180,evening,26.66,34.16
18.7,2,7.9,3,50,morning,97.43,74.87
0.5,0,5.7,7,45,night,16.88,93.5
189.0,2,8.1,3,53,morning,98.19,21.91
135.6,8,6.5,3,140,night,2858.23,94.52
2.5,6,4.7,7,123,morning,637.45,100.0
99.0,0,8.6,7,97,afternoon,25.09,5.17
49.6,1,5.8,6,87,evening,38.74,33.16
66.3,1,6.4,5,116,evening,43.68,19.39
101.8,0,8.8,3,62,evening,27.57,1.06
5.6,5,5.1,5,102,afternoon,462.71,94.28
14.4,3,6.7,1,180,morning,211.63,98.73
14.0,6,5.2,6,79,morning,807.8,98.83
13.7,4,8.1,7,109,morning,292.42,99.15
3.5,2,4.1,5,59,evening,51.48,96.77
53.9,1,5.9,5,87,morning,45.96,34.07
96.9,2,7.7,6,43,night,65.81,36.21
124.7,3,8.1,7,83,afternoon,141.58,44.23
16.1,1,7.0,6,71,morning,48.21,77.72
4.7,1,2.4,6,83,afternoon,21.98,82.71
187.9,5,8.5,10,51,evening,354.15,64.87
15.1,3,6.1,7,107,night,114.58,80.72
36.7,3,5.7,2,86,evening,157.98,70.45
21.9,2,6.5,8,47,afternoon,59.55,64.23
47.3,5,7.2,6,162,afternoon,540.84,85.98
14.1,3,4.4,7,71,night,78.91,77.57
16.8,2,6.9,7,28,night,52.24,73.14
43.9,2,5.2,4,76,afternoon,78.92,52.92
2.6,9,9.1,9,64,evening,4015.92,96.2
22.6,2,8.0,5,127,afternoon,96.48,72.29
2.6,2,6.3,8,123,night,62.87,99.45
3.0,3,9.3,7,156,afternoon,158.7,100.0
22.1,9,6.1,7,60,afternoon,3956.01,97.39
18.9,2,3.6,10,98,evening,44.45,64.15
67.9,4,7.2,8,75,morning,257.26,74.58
6.8,0,7.2,6,64,evening,23.39,70.43
75.5,5,5.7,2,137,evening,569.63,86.22
536.6,1,7.0,3,37,night,42.61,0.0
14.9,3,7.5,6,127,evening,158.07,83.24
102.9,2,5.8,7,140,evening,73.6,25.51
18.7,4,5.9,3,99,evening,275.17,93.29
5.9,0,6.0,1,104,evening,30.23,78.31
24.8,0,5.8,8,155,night,19.84,29.36
6.8,2,5.8,10,46,morning,58.63,84.59
68.9,4,8.1,5,180,night,278.87,77.9
717.1,3,7.0,6,107,afternoon,157.51,2.89
11.9,2,6.8,7,54,morning,68.72,80.08
15.0,1,4.4,7,42,morning,27.75,59.21
13.0,0,6.1,7,120,evening,22.07,59.12
30.1,5,6.4,4,25,evening,386.78,93.31
8.1,0,5.8,7,180,evening,22.72,74.57
1.8,6,7.6,9,62,evening,685.13,91.27
0.7,1,4.2,8,59,morning,27.64,94.58
87.9,5,5.1,6,84,night,370.11,82.84
73.5,2,2.0,2,50,afternoon,45.97,19.93
279.0,0,4.8,7,77,morning,16.85,5.9
16.4,3,8.5,5,159,morning,190.14,93.55
40.3,0,4.3,4,37,evening,15.87,11.75
376.8,0,5.2,4,69,afternoon,23.94,0.0
9.6,3,8.3,6,81,evening,142.28,92.7
7.8,0,4.2,2,92,night,18.89,64.94
37.3,5,3.3,7,40,afternoon,268.27,87.59
6.9,0,7.1,3,180,evening,32.54,86.68
43.2,3,7.9,5,129,afternoon,174.42,71.25
16.1,1,6.7,9,100,evening,34.56,61.58
3.7,5,2.0,2,44,evening,253.32,100.0
7.4,2,6.4,5,167,afternoon,85.05,100.0
1.0,1,5.6,2,82,afternoon,50.31,100.0
126.0,5,6.2,5,94,evening,436.04,78.45
137.6,1,5.7,9,64,evening,31.69,0.0
4.7,0,5.2,6,52,night,18.08,79.68
75.9,5,6.8,6,84,night,370.11,84.7
3.3,4,4.5,9,155,afternoon,169.58,99.39
8.1,3,5.2,8,128,afternoon,130.01,99.27
24.1,4,6.6,7,55,afternoon,206.7,93.56
20.9,3,6.5,8,104,evening,118.32,91.64
3.9,5,5.5,5,64,afternoon,422.32,100.0
38.1,0,7.8,7,104,evening,24.48,22.5
19.3,3,10.0,5,60,evening,142.45,83.88
13.2,3,2.0,5,87,morning,81.91,84.17
24.0,3,5.2,7,92,night,110.68,77.17
33.8,1,6.4,1,148,evening,58.06,51.56
22.3,2,7.4,7,66,morning,81.48,82.67
191.3,3,5.1,3,53,evening,136.61,20.58
42.4,3,3.4,5,73,evening,95.97,62.52
1.1,2,7.4,9,157,morning,86.67,97.15
4.8,0,6.0,7,96,morning,23.51,80.53
13.5,8,5.6,9,77,evening,2003.53,95.94
25.7,1,6.9,9,36,morning,33.14,49.35
15.0,4,3.8,5,75,morning,195.3,93.67
9.9,4,5.8,5,70,morning,257.22,100.0
52.2,2,5.2,6,141,evening,77.41,53.91
21.5,4,6.7,4,180,night,256.52,98.95
17.1,1,7.5,6,180,evening,49.46,65.32
13.5,3,6.1,7,108,night,114.84,89.33
306.7,4,6.8,7,81,night,194.07,14.91
11.8,3,7.3,6,70,evening,138.5,96.38
79.2,5,5.0,4,29,morning,439.99,87.86
21.5,0,6.5,6,51,morning,22.14,40.68
148.4,6,5.1,3,51,evening,792.58,86.41
53.8,3,5.6,8,68,night,99.53,54.73
20.3,6,7.1,5,162,afternoon,1026.74,98.88
88.4,0,6.6,9,53,evening,17.12,6.2
32.9,2,3.3,6,57,afternoon,50.59,55.4
15.8,0,6.4,9,37,afternoon,17.09,37.97
45.0,1,8.1,7,56,night,35.96,28.87
78.6,5,7.1,7,68,afternoon,442.19,91.67
12.9,2,8.0,9,135,evening,77.04,90.51
31.2,0,6.7,5,67,morning,24.32,25.22
8.0,2,5.5,4,72,morning,84.4,89.45
1.2,1,4.7,7,49,morning,28.26,94.89
9.0,3,6.6,3,106,evening,155.35,97.83
104.0,2,3.8,5,83,afternoon,56.91,12.31
7.1,1,7.9,6,65,evening,42.22,87.51
120.4,1,7.0,6,180,morning,55.64,11.94
0.9,1,7.0,8,61,night,34.71,97.19
121.8,0,6.5,7,10,evening,16.71,0.0
2.1,0,7.5,5,31,night,20.74,89.58
3.4,2,6.8,7,141,morning,82.8,91.13
1.7,5,7.0,4,20,morning,493.42,98.87
44.5,0,6.1,9,57,evening,17.29,6.31
36.4,0,2.5,7,45,evening,10.13,8.94
40.2,4,2.5,7,74,evening,114.48,67.44
133.6,4,9.4,7,70,morning,266.64,64.05
28.7,5,4.8,5,53,night,271.01,87.13
70.0,4,4.9,5,107,evening,187.21,71.65
52.1,0,6.1,8,116,night,19.11,5.31
261.5,1,7.3,2,114,afternoon,62.31,0.0
16.2,1,5.9,5,20,evening,34.34,67.19
147.2,0,5.3,8,116,evening,20.84,0.0
19.2,4,4.8,8,78,evening,150.23,83.26
129.6,5,5.4,3,67,morning,515.98,80.21
48.1,2,5.3,4,39,afternoon,71.78,45.46
3.2,2,7.0,4,180,night,91.05,94.75
2.1,0,7.1,3,111,night,28.4,87.7
69.2,1,3.9,6,65,evening,27.53,4.62
18.1,3,6.9,6,49,evening,114.16,90.36
18.8,1,6.6,3,118,night,45.15,66.56
10.6,3,6.2,8,79,afternoon,116.2,89.83
2.8,1,6.1,7,74,morning,40.15,91.76
8.2,1,4.8,7,153,morning,34.5,80.95
39.0,4,7.7,7,72,evening,238.19,86.9
6.3,4,3.3,5,87,night,163.81,93.43
43.8,0,6.4,4,36,evening,21.1,6.17
29.6,4,5.3,6,103,night,214.98,84.13
13.7,3,10.0,8,42,night,107.04,82.39
4.2,2,5.8,4,163,afternoon,89.97,98.82
411.1,1,5.5,7,45,afternoon,34.53,0.0
115.9,0,3.8,1,109,morning,25.8,2.37
9.2,0,7.7,6,61,evening,23.22,68.32
18.4,2,7.2,9,71,night,61.19,83.25
18.5,5,8.5,3,109,afternoon,607.07,94.2
94.8,0,6.3,8,122,evening,21.12,1.38
22.7,0,7.0,6,91,evening,24.98,33.44
87.7,2,3.6,8,163,morning,59.18,17.67
482.7,1,6.8,10,91,night,29.69,3.23
3.5,5,6.7,7,80,morning,427.69,100.0
16.1,0,5.0,4,70,afternoon,24.0,50.44
7.4,0,6.0,1,131,afternoon,33.43,86.58
31.9,2,8.7,2,57,evening,93.95,70.95
16.8,1,4.9,6,164,night,29.57,52.44
245.6,7,5.3,3,180,afternoon,1804.44,90.56
7.2,5,6.5,9,46,evening,317.59,99.62
10.5,2,6.9,7,131,morning,82.38,80.84
0.9,5,7.1,6,49,night,389.93,100.0
6.7,1,7.4,9,153,afternoon,44.58,85.51
20.9,1,7.5,4,84,afternoon,51.4,61.78
6.4,0,7.2,3,61,night,25.2,83.39
53.0,1,4.9,8,90,afternoon,27.62,17.21
14.7,3,4.9,7,34,morning,87.98,87.57
52.4,0,7.7,6,77,evening,24.16,11.65
100.2,5,8.1,6,116,evening,499.92,81.32
148.0,2,9.9,7,115,morning,91.48,19.64
21.0,2,9.2,5,149,night,86.07,72.78
461.3,2,7.0,4,144,morning,111.74,0.0
6.8,6,7.2,6,89,night,775.3,100.0
5.7,1,6.6,7,93,night,34.24,90.79
46.0,1,8.0,10,93,night,34.3,25.31
30.6,0,3.7,8,152,night,14.88,15.46
76.7,1,9.1,7,58,evening,39.43,14.74
205.0,3,5.5,5,83,night,120.19,16.49
5.7,0,3.9,9,40,afternoon,12.92,67.25
19.9,3,7.6,4,22,morning,153.15,98.46
2.6,0,6.8,8,128,afternoon,22.29,88.65
1.1,1,5.3,7,53,morning,38.08,100.0
13.3,1,4.8,5,135,night,31.18,61.05
255.2,2,5.2,6,140,morning,87.09,0.0
142.5,3,5.8,9,83,night,98.62,21.3
1.7,4,6.9,4,39,afternoon,232.58,93.18
4.6,4,5.9,7,158,night,218.59,100.0
59.5,5,10.0,9,69,evening,387.37,89.54
3.1,1,8.5,7,166,night,43.1,91.43
1.3,4,5.1,9,180,evening,217.06,88.75
12.8,1,5.5,5,38,evening,36.09,76.49
90.9,4,5.0,8,91,night,189.42,63.34
73.7,1,6.9,4,30,afternoon,38.92,10.43
6.1,4,5.0,2,65,morning,303.88,91.03
49.0,5,8.6,4,122,night,518.11,98.49
178.4,0,3.5,6,68,evening,15.41,0.0
15.1,0,6.3,7,29,morning,19.84,44.32
3.2,1,6.2,6,86,afternoon,40.26,89.4
17.0,1,5.3,6,71,afternoon,38.82,66.33
28.5,6,5.1,7,83,morning,775.43,97.88
20.6,7,2.0,3,49,night,715.52,97.58
22.7,1,6.9,7,50,morning,37.78,58.59
46.5,5,4.9,9,66,evening,250.75,86.69
53.6,4,6.7,6,91,morning,256.58,79.35
18.1,6,7.5,3,57,evening,925.69,95.43
35.5,0,4.7,1,19,night,16.74,5.64
49.3,1,6.4,8,37,evening,30.92,27.48
7.7,2,5.9,8,180,evening,70.14,90.39
122.6,5,8.1,8,118,night,417.05,78.54
71.6,0,4.4,6,34,evening,14.11,6.32
37.9,1,2.0,6,81,morning,23.63,20.82
150.3,0,6.2,6,171,morning,26.88,5.44
67.7,1,8.0,7,145,night,43.1,18.58
4.4,2,7.6,8,150,evening,80.66,90.99
271.4,5,6.2,8,97,night,345.78,35.03
3.6,2,8.7,6,82,afternoon,82.54,97.67
4.7,2,6.9,9,167,afternoon,69.78,85.0
63.9,7,5.7,5,33,morning,1362.48,98.04
82.7,1,4.1,5,46,night,25.35,0.0
3.6,3,4.5,3,58,night,95.13,100.0
111.3,1,6.4,7,111,morning,43.8,8.33
65.8,1,7.8,6,23,evening,37.77,22.16
6.9,1,5.8,6,61,evening,36.34,86.6
32.2,1,4.6,6,104,night,27.71,35.73
97.6,1,2.0,5,134,afternoon,25.99,2.31
20.5,0,5.9,4,52,evening,22.01,39.36
308.0,1,5.3,2,96,afternoon,52.0,0.0
18.2,0,8.3,2,132,morning,38.89,64.75
81.6,1,5.4,6,76,afternoon,39.3,10.17
5.1,1,6.5,7,49,morning,37.69,87.64
33.0,2,7.2,8,144,night,73.94,60.78
466.8,5,5.7,8,125,night,368.28,22.57
2.7,4,4.3,5,93,afternoon,188.81,98.57
17.1,1,9.4,6,16,afternoon,38.57,62.69
119.9,3,5.1,5,54,evening,121.98,30.74
3.6,2,7.0,4,38,night,72.45,88.64
20.2,6,8.8,4,43,night,770.79,99.98
7.1,9,7.4,8,70,morning,4801.58,100.0
386.2,6,7.1,5,64,night,769.3,50.19
6.5,0,6.4,7,66,morning,21.87,74.79
